name,address,city,state,zip,lat,lng
Philadelphia / West Chester KOA Holiday,1659 Embreeville Road,Coatesville,Pennsylvania,19320,39.963092,-75.83203
Mercer / Grove City KOA Holiday,1337 Butler Pike,Mercer,Pennsylvania,16137,41.23123,-80.238647
Meadville KOA Journey,25164 PA-27,Meadville,Pennsylvania,16335,41.630953,-80.156056
Madison / Pittsburgh S.E. KOA Journey,764 Waltz Mill Road,Ruffs Dale,Pennsylvania,15679,40.175948,-79.653825
Lancaster / New Holland KOA Journey,354 Springville Road,New Holland,Pennsylvania,17557,40.09985,-76.072742
Kinzua East KOA,32 dustin blvd,Bradford,Pennsylvania,16701,41.918454,-78.750607
Jonestown / Hershey NE KOA Journey,11 Lickdale Rd,Jonestown,Pennsylvania,17038,40.467915,-76.556026
Gettysburg / Battlefield KOA Holiday,20 Knox Road,Gettysburg,Pennsylvania,17325,39.826258,-77.227606
Honesdale / Pocono KOA Holiday,50 Countryside Lane,Honesdale,Pennsylvania,18431,41.61651,-75.257698
Erie KOA Holiday,6645 West Road,Mckean,Pennsylvania,16426,41.979331,-80.14208
DuBois / Treasure Lake KOA Holiday,95 Coral Reef Road,DuBois,Pennsylvania,15801,41.125057,-78.722433
Elizabethtown / Hershey KOA Holiday,1980 Turnpike Road,Elizabethtown,Pennsylvania,17022,40.167052,-76.60892
Bellefonte / State College KOA Holiday,2481 Jacksonville Road,Bellefonte,Pennsylvania,16823,40.939052,-77.772647
Allentown KOA Journey,6750 KOA Drive,New Tripoli,Pennsylvania,18066,40.664462,-75.7401
Delaware Water Gap / Pocono Mountain KOA Holiday,227 Hollow Road,East Stroudsburg,Pennsylvania,18302,41.09655,-75.111107
Westfield / Lake Erie KOA Journey,8001 East Lake Road,Westfield,New York,14787,42.31124,-79.565066
Bismarck KOA Journey,3720 Centennial Road,Bismarck-8001,North Dakota,58503,46.90412,-100.750302
Watkins Glen / Corning KOA Resort,1710 State Route 414 (GPS address 1710 KOA Dr),Watkins Glen,New York,14891,42.377014,-76.946182
Waterloo / Finger Lakes KOA,1278 Waterloo-Geneva Rd,Waterloo,New York,13165,42.916639,-76.883297
Unadilla / I-88 / Oneonta KOA Journey,242 Union Church Road,Franklin,New York,13775,42.327909,-75.134022
Niagara Falls North / Lewiston KOA Journey,1250 Pletcher Road,Youngstown,New York,14174,43.249139,-78.998325
New York City North / Newburgh KOA Holiday,119 Freetown Highway,Plattekill,New York,12589,41.623791,-74.158771
Niagara Falls / Grand Island KOA Holiday,2570 Grand Island Blvd.,Grand Island,New York,14072,43.017901,-78.962657
Medina / Wildwood Lake KOA Holiday,2711 County Line Road,Medina,New York,14103,43.211161,-78.37677
Natural Bridge / Watertown KOA Journey,6081 State Route 3,Natural Bridge,New York,13665,44.04846,-75.434366
Lake Placid / Whiteface Mtn. KOA Holiday,5591 NYS Route 86,Wilmington,New York,12997,44.372798,-73.892043
Lake George / Saratoga KOA Journey,564 Lake Avenue,Lake Luzerne,New York,12846,43.345965,-73.78972
Houghton / Letchworth KOA Holiday,7632 Centerville Road,Houghton,New York,14744,42.4281,-78.206654
Herkimer Diamond KOA Resort,4626 State Route 28 North,Herkimer,New York,13350,43.061009,-75.000439
Hammondsport / Bath KOA Resort,7531 County Road 13,Bath,New York,14810,42.349751,-77.343379
Cooperstown  KOA Journey,565 Ostrander Road,Richfield Springs,New York,13439,42.857316,-74.995275
Chautauqua Lake KOA Holiday,5652 Thum Road,Dewittville,New York,14728,42.263333,-79.423176
Canandaigua / Rochester KOA Holiday,5374 Canandaigua Farmington Town Line Road,Farmington,New York,14425,42.991514,-77.33802
Yankton / Missouri River KOA Journey,807 Bill Baggs Road,Yankton,South Dakota,57078,42.915648,-97.446689
Spearfish / Black Hills KOA Holiday,41 W HWY 14,Spearfish,South Dakota,57783,44.474163,-103.918258
Sioux Falls KOA Journey,1401 East Robur Drive,Sioux Falls,South Dakota,57104,43.604785,-96.707425
Sioux City North KOA Holiday,675 Streeter Drive,North Sioux City,South Dakota,57049,42.523328,-96.509711
Rapid City / Black Hills KOA Holiday,3010 East Highway 44,Rapid City,South Dakota,57703,44.004564,-103.042628
Mitchell KOA Journey,41255 South Dakota Highway 38,Mitchell,South Dakota,57301,43.713759,-98.047697
Mount Rushmore KOA Resort at Palmer Gulch,12620 Highway 244,Hill City,South Dakota,57745,44.01924,-103.778602
Kennebec KOA Journey,I-90 Exit 235,Kennebec,South Dakota,57544,43.945257,-99.909234
Hot Springs SD / Black Hills KOA Holiday,27585 SD Highway 79,Hot Springs,South Dakota,57747,43.384853,-103.52724
Custer / Mount Rushmore / Black Hills KOA Holiday,12021 US Highway 16,Custer,South Dakota,57730,43.720822,-103.641848
Deadwood / Black Hills KOA Holiday,11484 US-14A,Lead,South Dakota,57754,44.255434,-103.887569
Belvidere East / Exit 170 KOA Journey,24201 South Dakota Highway 63,Midland-7302,South Dakota,57552,44.282982,-101.19991
Badlands / White River KOA Holiday,20720 SD Highway 44,Interior,South Dakota,57750,43.593792,-101.955547
