address,city,name,state,zip
76 County Road a25a,Las Vegas,"Las Vegas, New Mexico  KOA Journey",Maine,87701
814 Weinrich Road,Las Cruces,Las Cruces KOA Journey,Maine,88007
26 Cibola Sands Loop,PO Box 179,Grants KOA Journey,Maine,PO Bo
555 South Hill Road,Bernalillo,Albuquerque North / Bernalillo KOA Journey,Maine,87004
"2 Manthei Road, Highway 285",Carlsbad,Carlsbad KOA Holiday,Maine,88220
84259 County Road 46,Hayward,Albert Lea / Austin KOA Journey,Maine,56043
12400 Skyline Road NE,Albuquerque,Albuquerque KOA Journey,Maine,87123
412 24th Street,Alamogordo,Alamogordo / White Sands KOA Journey,Maine,88310
14601 Highway 6,Gretna,West Omaha / NE Lincoln KOA Holiday,Maine,68028
120 Road East 80,Ogallala,Ogallala / Tri Trails KOA,Maine,69153
221 Road East 85,Ogallala,Ogallala / I-80 KOA Journey,Maine,69153
904 South B Road,Doniphan,Grand Island KOA Journey,Maine,68832
372 Route 115,Twin Mountain,Twin Mountain / Mt. Washington KOA Holiday,Maine,03595
79 First Crown Point Road,Strafford,Strafford / Lake Winnipesaukee South KOA Holiday,Maine,03884
1000 East Side Road,RT 175,Lincoln / Woodstock KOA Holiday,Maine,RT 17
2154 Route 302,Lisbon,Littleton / Franconia Notch KOA Holiday,Maine,03585
893 White Mountain Highway - PO Box 484,Tamworth,Chocorua KOA Holiday,Maine,03886
162 KOA Lane,Statesville,Statesville / I-77 KOA Journey,Maine,28677
7415 Market Street,Wilmington,Wilmington KOA Holiday,Maine,28411
1631 Waterlily Road,Coinjock,Outer Banks West / Currituck Sound KOA Holiday,Maine,27923
1565 B Street,New Bern,New Bern KOA Holiday,Maine,28560
465 Kenric Road,Lumberton,Lumberton / I-95 KOA Journey,Maine,28360
117 Happy Valley Road,Marble,Murphy / Peace Valley KOA Holiday,Maine,28905
18562 NC HWY 481,Enfield,Enfield / Rocky Mount KOA Journey,Maine,27823
1896 Trox St,Greensboro,Greensboro KOA Journey,Maine,27406
25099 NC Hwy 12,Rodanthe,Cape Hatteras / Outer Banks KOA Resort,Maine,27968
92 KOA Campground Road,Cherokee,Cherokee / Great Smokies KOA Holiday,Maine,28719
123 Harmony Mountain Lane,Boone,Boone KOA Holiday,Maine,28607
309 Wiggins Road,Candler,Asheville West KOA Holiday,Maine,28715
187 State Route 303,Streetsboro-5245,Streetsboro / Cleveland SE KOA Holiday,Maine,44241
136 County Road,Bar Harbor,Bar Harbor / Oceanside KOA Holiday,Maine,04609
6787 Baker 47,Shelby,Shelby / Mansfield KOA Resort,Maine,44875
5232 65th Avenue SE,Rochester-6313,Rochester / Marion KOA Journey,Maine,55904
438 Plymouth Street,Middleboro,Boston / Cape Cod KOA Holiday,Maine,02346
901 E High Street,Mt. Gilead,Mt. Gilead KOA Holiday,Maine,43338
East Shoreway Drive KOA,2311 Cleveland Rd,Sandusky / Bayshore KOA Holiday,Maine,2311 
33807 Winona Road,Salem,Salem / Lisbon KOA Holiday,Maine,44460
29150 Pattor Rd,Logan,Logan / Hocking Hills KOA Holiday,Maine,43138
760 Franklin Rd,Lebanon,Lebanon / Cincinnati NE KOA Holiday,Maine,45036
15487 Creed Rd,Lake Milton,Lake Milton / Berlin Lake KOA Holiday,Maine,44429
7796 Wellbaum Road,Brookville,Dayton KOA Holiday,Maine,45309
4145 Fresno Rd. NW,Carrollton,Carrollton KOA Holiday,Maine,44615
4460 Walnut Road,P O Box 972,Buckeye Lake / Columbus East KOA Holiday,Maine,P O B
6918 Bunker Hill Road South,Butler,Butler / Mohican KOA Journey,Maine,44822
3232 Downing Street SW,East Sparta,Canton / East Sparta KOA Holiday,Maine,44626
8533 State Highway 73,Townsend,Townsend / Great Smokies KOA Holiday,Maine,37882
6290 East Antioch Road,Buchanan,Paris Landing / Kentucky Lake KOA Holiday,Maine,38222
240 KOA Lane,Newport,Newport / I-40 / Smoky Mountains KOA Journey,Maine,37821
3122 Veterans Blvd.,Pigeon Forge,Pigeon Forge / Gatlinburg KOA Holiday,Maine,37863
24688 County Road 10,Coshocton,Coshocton KOA Holiday,Maine,43812
2626 Music Valley Drive,Nashville,Nashville KOA Resort,Maine,37214
7652 Pymatuning Lake Road,Williamsfield,Andover / Pymatuning Lake KOA Holiday,Maine,44093
269 Murray's Chapel Road,Sweetwater,Sweetwater / I-75 / Exit 62 KOA Holiday,Maine,37874
2100 Safari Camp Road,Lebanon,Nashville East / Lebanon KOA Journey,Maine,37090
3937 Hwy 81 S,Jonesborough,Jonesborough / Cherokee NF KOA Journey,Maine,37659
6575 US-70,Crossville,Crossville / I-40 KOA Holiday,Maine,38555
648 Pleasant Grove Road,I75 - Exit 20,Chattanooga North / Cleveland KOA Journey,Maine,I75 -
4874 Hooper Highway,Cosby,Gatlinburg East / Smoky Mountain KOA Holiday,Maine,37722
425 Rocky Branch Rd,Blountville,Bristol / Kingsport KOA Holiday,Maine,37617
7485 Horton Highway,Greeneville,Baileyton KOA Holiday,Maine,37745
1330 NW Pacific Coast Highway,Waldport,Waldport / Newport KOA Journey,Maine,97394
473 Barrren Hollow Road,Hurricane Mills,Buffalo / I-40 / Exit 143 KOA Journey,Maine,37078
609 Fort McKay,Sutherlin,Sutherlin / Umpqua Valley KOA,Maine,97479
1375 SE 3RD St.,Pendleton-4101,Pendleton KOA Journey,Maine,97801
2435 Southwest Jericho Lane,Culver,Redmond / Central Oregon KOA Holiday,Maine,97734
5298 Northeast Park Lane,Otis,Lincoln City KOA Journey,Maine,97368
12297 Blackwell Road,Central Point,Medford / Gold Hill KOA Journey,Maine,97502
2610 Birds Point Road,Idleyld Park,Lemolo Lake / Crater Lake North KOA Holiday,Maine,97447
68632 Hwy 101,North Bend,Oregon Dunes KOA Holiday,Maine,97459
3435 Shasta Way,Klamath Falls,Klamath Falls KOA Journey,Maine,97603
699 Jumpoff Joe Creek Road,Grants Pass,Grants Pass KOA Journey,Maine,97526
841 NE Forest Lane,Cascade Locks,Cascade Locks / Portland East KOA Holiday,Maine,97014
46612 Highway 101 South,Langlois,Bandon / Port Orford KOA Journey,Maine,97450
2400 US-25,Travelers Rest,Travelers Rest / N Greenville KOA Holiday,Maine,29690
1100 Northwest Ridge Road,Clatsop County,Astoria / Warrenton / Seaside KOA Resort,Maine,Clats
33775 Oakville Road South,Albany,Albany / Corvallis KOA Journey,Maine,97321
1268 Gordon Road,Summerton,Santee / Santee Lakes KOA Journey,Maine,29148
567 Fairview Church Rd,Kinards,Newberry / I-26 / Sumter NF KOA Journey,Maine,29355
14 Campground Rd  (I-95 @ Exit 33) & US 17,Yemassee,Point South / I-95 / Yemassee KOA Holiday,Maine,29945
613 5th Avenue South,Myrtle Beach,Myrtle Beach KOA Resort,Maine,29577
3157 N Highway 17,Mount Pleasant,Mount Pleasant / Charleston KOA Holiday,Maine,29466
940 Gold Hill Road,Fort Mill,Charlotte / Fort Mill KOA Journey,Maine,29708
9494 U.S. Highway 78,Ladson,Charleston KOA Holiday,Maine,29456
200 Wham Road,Anderson,Anderson / Lake Hartwell KOA Holiday,Maine,29625
1400 West North Temple,Salt Lake City,Salt Lake City KOA Holiday,Maine,84116
590 West 600 South,Richfield,Richfield KOA Holiday,Maine,84701
"Milepost 2, Highway 163",Monument Valley,Monument Valley KOA Journey,Maine,84536
3225 South Highway 191,Moab,Moab KOA Holiday,Maine,84532
235 South 1780 East,Green River,Green River KOA Journey,Maine,84525
320 West Highway 43,P.O. Box 455,Flaming Gorge / Manila KOA Journey,Maine,P.O. 
410 West 900 South,Fillmore,Fillmore KOA Journey,Maine,84631
1040 West 3600 South,Perry,Brigham City / Perry South KOA Journey,Maine,84302
145 N. 300 W.,Garden City,Bear Lake / Trail Side KOA Journey,Maine,84028
1428 N Manderfield Road (Hwy 357),PO BOX 1437,Beaver KOA Journey,Maine,PO BO
6252 Elon Rd,Monroe-3012,Lynchburg  / Blue Ridge Parkway KOA Holiday,Maine,24574
10061 Kings Dominion Blvd,Doswell,Richmond North / Kings Dominion KOA Holiday,Maine,23047
214 Killdeer Lane,Natural Bridge,Natural Bridge / Lexington KOA Holiday,Maine,24578
1240 General Booth Boulevard,Virginia Beach,Virginia Beach KOA Holiday,Maine,23451
12480 Mountain Valley Road,Broadway,Harrisonburg / Shenandoah Valley KOA Holiday,Maine,22815
7400 Brookside Lane,Fredericksburg-8856,Fredericksburg / Washington DC South KOA Holiday,Maine,22408
47 Fox Trail Loop,PO Box 187,Fancy Gap / Blue Ridge Parkway KOA Journey,Maine,PO Bo
2940 Sussex Drive,Emporia,Emporia / I-95 KOA,Maine,23847
3825 Red Hill RD,Charlottesville,Charlottesville KOA Holiday,Maine,22903
290 Fox Fire Road,Milton,Huntington / Fox Fire KOA Holiday,Maine,25541
350 Days Drive,Sutton,Flatwoods KOA Journey,Maine,26601
32246 Lankford Highway,Cape Charles,Cape Charles / Chesapeake Bay KOA Resort,Maine,23310
343 Campground Road,Harpers Ferry,Harpers Ferry / Civil War Battlefields KOA Holiday,Maine,25425
21788 Dogwood Avenue,Onawa-8665,Onawa / Blue Lake KOA Holiday,Arizona,51040
271 West Main St,Niantic,Niantic / I-95 Exit 72 KOA Journey,California,06357
4550 La Porte Rd ( Hess Rd),Waterloo,Waterloo / Lost Island Waterpark KOA Resort,California,50701
34308 L Avenue,Adel,Des Moines West KOA Holiday,California,50003
1601 East 36th Street South,Newton,Newton / Des Moines East KOA Journey,California,50208
3157 West Chain of Rocks Road,Granite City,St. Louis N.E. / I-270 / Granite City  KOA Journey,California,62040
2311 78th Avenue West,Rock Island,Rock Island / Quad Cities KOA Holiday,California,61201
425 East 6000 South Road,Chebanse,Kankakee South KOA Holiday,California,60922
200 Koehler St.,Grayville,Grayville / I-64 KOA Holiday,California,62844
10982 US Highway 20 West,Lena,Lena KOA Holiday,California,61048
1081 US HWY 150 E,Knoxville,Galesburg East / Knoxville KOA Journey,California,61448
4632 Union Road,Tifton,Tifton KOA Journey,California,31794
700 N Virginia Avenue,Willcox,"Willcox / Cochise, AZ KOA Holiday",California,85643
1000 Circle Pines Road,Williams,Williams / Exit 167 / Circle Pines KOA Holiday,California,86046
21305 I-40 Business Loop,Seligman,Seligman / Route 66 KOA Journey,California,86337
5151 South Country Club Road,Tucson,Tucson / Lazydays KOA Resort,California,85706
64812 Harcuvar Drive,P.O. Box 831,Salome KOA Journey,California,P.O. 
7480 Avenue 308,Visalia,Visalia / Sequoia National Park KOA Journey,California,93291
7400 Pine Grove Road,Santa Paula,Ventura Ranch KOA Holiday,California,93060
60260 State Highway 3,Trinity Center,Trinity Lake KOA Holiday,California,96091
1500 North DuQuoin Street,Benton,Benton KOA Journey,California,62812
118 Pendleton Hill Road,North Stonington,Mystic KOA Holiday,California,06359
4765 Santa Margarita Lake Rd.,Santa Margarita,Santa Margarita KOA Holiday,California,93453
4320 KOA Road,Rochester,Springfield KOA Journey,California,62563
38000 Hwy 79 South,Temecula,Temecula / Vail Lake KOA,California,92592
2001 Rossi Road at Hwy 1,Pescadero,Santa Cruz North / Costanoa KOA,California,94060
20 Rainsville Road,Petaluma,San Francisco North / Petaluma KOA,California,94952
111 North 2nd Avenue,Chula Vista,San Diego Metro KOA Resort,California,91910
100 Lake Avenue,Red Bluff,Red Bluff KOA Journey,California,96080
8710 Prunedale North Road,Salinas,Salinas / Monterey KOA,California,93907
4655 Rock Barn Road,Shingle Springs,Placerville KOA Journey,California,95682
1186 San Andreas Road,Watsonville,Santa Cruz / Monterey Bay KOA Holiday,California,95076
70405 Dillon Rd,Desert Hot Springs,Palm Springs / Joshua Tree KOA,California,92241
3 Alverda Dr.,1 Feather Falls Blvd,Oroville / Feather Falls Casino KOA Journey,California,1 Fea
5400 Route 66,5400 National Old Trails Highway,Needles KOA Journey,California,5400 
7749 KOA Road,Shingletown,Mt. Lassen / Shingletown KOA Holiday,California,96088
7905 Sandholdt Road,Moss Landing,Moss Landing KOA Express,California,95039
900 North Mt Shasta Blvd.,Mt Shasta,Mount Shasta City KOA Holiday,California,96067
44300 Kinney Road,Manchester,Manchester Beach / Mendocino Coast KOA Journey,California,95459
14831 Warren Street,Lost Hills,Lost Hills KOA,California,93249
4241 Highway 101 North,Crescent City,Crescent City / Redwoods KOA Holiday,California,95531
15627 Highway 178,Lake Isabella Kern River KOA,Lake Isabella / Kern River KOA,California,Lake 
1331 Shasta Way,Boulevard,Boulevard / Cleveland National Forest KOA Holiday,California,91905
110437 US Highway 395,Coleville,Coleville / Walker KOA Holiday,California,96107
1455 S. San Gorgonio Avenue,Banning,Banning Stagecoach KOA Journey,California,92220
1166 Asti Ridge Road,Cloverdale,Cloverdale / Healdsburg KOA,California,95425
15565 Black Angus Lane,Hat Creek,Burney Falls / Hat Creek KOA Holiday,California,96040
7000 Benbow Drive,Garberville,Benbow KOA Holiday,California,95542
35250 Outer Highway 15 North,Yermo,Barstow / Calico KOA Holiday,California,92398
5025 Wible Rd,Bakersfield,Bakersfield KOA Journey,California,93313
5333 State Highway 64,Williams,Grand Canyon / Williams KOA Journey,California,86046
3820 North Roosevelt,Kingman,Kingman KOA Journey,California,86409
7075 Ontario Road,San Luis Obispo,Avila / Pismo Beach KOA,California,93405
180 West Four Feathers Lane,Benson-7952,Benson KOA Journey,California,85602
1540 South Tomahawk Road,Apache Junction,Mesa / Apache Junction KOA Journey,California,85119
18428 South Picacho Highway,Picacho,Picacho / Tucson NW KOA Journey,California,85141
102 Hermosa Drive,Holbrook,Holbrook / Petrified Forest KOA Journey,California,86025
5803 North US Highway 89,Flagstaff,Flagstaff KOA Holiday,California,86004
1440 Highway 1383,Russell Springs,Russell Springs KOA Journey,California,42642
184 KOA Campground Rd,Mt. Vernon,Renfro Valley KOA Holiday,California,40456
KOA AVE,489 Flint Ridge Road,Horse Cave KOA Holiday,California,489 F
2433 Highway 44 East,Shepherdsville,Louisville South KOA Holiday,California,40165
4793 US Highway 62,PO Box 272,Paducah / I-24 / Kentucky Lake KOA Journey,California,PO Bo
1960 Three Springs Road,Bowling Green,Bowling Green KOA Holiday,California,42104
1777 Prizer Point Rd.,(Mile Marker 55 on Lake Barkley),Kentucky Lakes / Prizer Point KOA,California,(Mile
171 East City Dam Road,Corbin,Corbin / Laurel Lake KOA Journey,California,40701
4915 US Highway 17 South,Richmond Hill,Savannah South KOA Holiday,California,31324
80 KOA Lane,Argillite,Ashland / Huntington West KOA Holiday,California,41121
930 Mountain Shadows Drive,Trenton,Lookout Mountain / Chattanooga West KOA Holiday,California,30752
2541 Carey Station Road,Greensboro,Lake Oconee / Greensboro KOA Holiday,California,30642
330 Hart State Park Rd,Hartwell-4129,Hartwell Lakeside KOA Holiday,California,30643
2970 Scrubby Bluff Road,Kingsland,Jacksonville North / St. Marys KOA Holiday,California,31548
751 Gander Gap Rd,Hiawassee,Hiawassee KOA Holiday,California,30546
5473 Mount Olive Road,Commerce,Commerce / Athens KOA Journey,California,30529
373 Rockhouse Road East,Cordele,Cordele KOA Journey,California,31015
1619 US Hwy 280 East,Americus,Americus KOA Journey,California,31709
414 S. Frontage Road,Forsyth,Forsyth KOA Journey,California,31029
8404 South Union Road,Union,Chicago Northwest KOA Holiday,California,60180
1248 East 1250th Road,Casey,Casey KOA Journey,California,62420
67 Blackhawk Drive,Blue Ridge,Blue Ridge / Toccoa River KOA Holiday,California,30513
